LAST_SEEN            | FIRST_SEEN           | NAME                                                           | SUBOBJECT                                 | TYPE     | REASON                  | MESSAGE                                                                                                                                                                                                                                  | 
2024-08-28 16:31:26  | 2024-08-28 16:31:26  | jupyter-nb-kube-3aadmin-0.17efdf7772649531                     | -                                         | Normal   | Scheduled               | Successfully assigned test-ns-gr68w/jupyter-nb-kube-3aadmin-0 to ip-10-0-33-185.eu-west-1.compute.internal                                                                                                                               | 
2024-08-28 16:31:28  | 2024-08-28 16:31:28  | jupyter-nb-kube-3aadmin-0.17efdf780058a6c5                     | -                                         | Normal   | SuccessfulAttachVolume  | AttachVolume.Attach succeeded for volume "pvc-ceda1280-a076-47b0-9599-5291d3a34740"                                                                                                                                                      | 
2024-08-28 16:31:30  | 2024-08-28 16:31:30  | jupyter-nb-kube-3aadmin-0.17efdf7861450958                     | -                                         | Normal   | AddedInterface          | Add eth0 [10.131.2.11/23] from ovn-kubernetes                                                                                                                                                                                            | 
2024-08-28 16:31:30  | 2024-08-28 16:31:30  | jupyter-nb-kube-3aadmin-0.17efdf7862d03cff                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Pulling                 | Pulling image "quay.io/modh/odh-generic-data-science-notebook@sha256:9d7f80080a453bcf7dee01b986df9ee811ee74f6f433c601a8b67d283c160547"                                                                                                   | 
2024-08-28 16:32:04  | 2024-08-28 16:32:04  | jupyter-nb-kube-3aadmin-0.17efdf80351bcadc                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Pulled                  | Successfully pulled image "quay.io/modh/odh-generic-data-science-notebook@sha256:9d7f80080a453bcf7dee01b986df9ee811ee74f6f433c601a8b67d283c160547" in 33.592s (33.592s including waiting)                                                | 
2024-08-28 16:32:04  | 2024-08-28 16:32:04  | jupyter-nb-kube-3aadmin-0.17efdf803c710368                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Created                 | Created container jupyter-nb-kube-3aadmin                                                                                                                                                                                                | 
2024-08-28 16:32:04  | 2024-08-28 16:32:04  | jupyter-nb-kube-3aadmin-0.17efdf803e314e0a                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Started                 | Started container jupyter-nb-kube-3aadmin                                                                                                                                                                                                | 
2024-08-28 16:32:04  | 2024-08-28 16:32:04  | jupyter-nb-kube-3aadmin-0.17efdf803e3f1fb8                     | spec.containers{oauth-proxy}              | Normal   | Pulling                 | Pulling image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:4bef31eb993feb6f1096b51b4876c65a6fb1f4401fee97fa4f4542b6b7c9bc46"                                                                                                    | 
2024-08-28 16:32:05  | 2024-08-28 16:32:05  | jupyter-nb-kube-3aadmin-0.17efdf806ef5fa8d                     | spec.containers{oauth-proxy}              | Normal   | Pulled                  | Successfully pulled image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:4bef31eb993feb6f1096b51b4876c65a6fb1f4401fee97fa4f4542b6b7c9bc46" in 817ms (817ms including waiting)                                                     | 
2024-08-28 16:32:05  | 2024-08-28 16:32:05  | jupyter-nb-kube-3aadmin-0.17efdf808518c425                     | spec.containers{oauth-proxy}              | Normal   | Created                 | Created container oauth-proxy                                                                                                                                                                                                            | 
2024-08-28 16:32:05  | 2024-08-28 16:32:05  | jupyter-nb-kube-3aadmin-0.17efdf8088349c78                     | spec.containers{oauth-proxy}              | Normal   | Started                 | Started container oauth-proxy                                                                                                                                                                                                            | 
2024-08-28 16:36:21  | 2024-08-28 16:36:21  | jupyter-nb-kube-3aadmin-0.17efdfbc24fbec90                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Killing                 | Stopping container jupyter-nb-kube-3aadmin                                                                                                                                                                                               | 
